train/std,time/total_timesteps,train/n_updates,train/policy_loss,train/entropy_loss,time/iterations,train/explained_variance,train/value_loss,time/time_elapsed,train/reward,time/fps,train/learning_rate
1.0039396286010742,500,99,-139.29881286621094,-41.25913619995117,100,0.0,13.148880004882812,3,0.1294784,125,0.0007
1.0062388181686401,1000,199,-119.19991302490234,-41.31591033935547,200,5.960464477539063e-08,11.292725563049316,8,-0.8020205,120,0.0007
1.0053822994232178,1500,299,-199.52081298828125,-41.2983512878418,300,0.0,26.400482177734375,11,5.414008,126,0.0007
1.0044342279434204,2000,399,-86.69749450683594,-41.26850891113281,400,-1.1920928955078125e-07,6.377906799316406,15,2.7014563,125,0.0007
1.0046483278274536,2500,499,324.0119323730469,-41.282718658447266,500,0.0,94.33235168457031,20,-6.7711043,122,0.0007
1.0021557807922363,3000,599,142.97531127929688,-41.2028923034668,600,0.057222068309783936,11.83149528503418,23,-0.00435406,125,0.0007
1.0018094778060913,3500,699,-111.70664978027344,-41.19593048095703,700,-0.05579066276550293,7.723371982574463,28,-2.7196348,124,0.0007
1.0015236139297485,4000,799,83.17561340332031,-41.181026458740234,800,0.0,4.33545446395874,31,-1.8460757,126,0.0007
1.0018815994262695,4500,899,144.8925018310547,-41.19282150268555,900,-0.0034880638122558594,15.055401802062988,35,0.25128523,127,0.0007
1.000850796699524,5000,999,101.0527572631836,-41.16371536254883,1000,-1.1920928955078125e-07,8.714642524719238,39,-4.876786,126,0.0007
1.0008749961853027,5500,1099,-133.33743286132812,-41.17268753051758,1100,5.960464477539063e-08,18.816387176513672,43,2.5553112,127,0.0007
0.9992809295654297,6000,1199,-72.76715087890625,-41.1150016784668,1200,-0.0028754472732543945,3.933274507522583,46,-0.15815829,128,0.0007
1.000398874282837,6500,1299,54.199180603027344,-41.15034484863281,1300,0.0,5.1458611488342285,50,-3.0513663,128,0.0007
0.9986270666122437,7000,1399,108.6895980834961,-41.09867858886719,1400,-0.014191389083862305,12.258441925048828,53,1.2299864,130,0.0007
1.002220630645752,7500,1499,-129.5533447265625,-41.20299530029297,1500,0.0,16.862112045288086,57,3.8732066,130,0.0007
1.0014923810958862,8000,1599,12.44853401184082,-41.1811637878418,1600,0.0,0.450824111700058,60,1.3383999,131,0.0007
1.0015071630477905,8500,1699,-94.1343002319336,-41.18167495727539,1700,0.0,19.90860939025879,64,13.1867285,132,0.0007
1.000174641609192,9000,1799,-46.54901885986328,-41.149879455566406,1800,-1.1920928955078125e-07,1.4301884174346924,67,0.85629547,133,0.0007
0.9994993805885315,9500,1899,137.36181640625,-41.122920989990234,1900,0.0,15.525545120239258,70,1.1472279,134,0.0007
0.9999092221260071,10000,1999,-117.82682800292969,-41.1324462890625,2000,-0.06136631965637207,10.982192039489746,74,1.9264838,134,0.0007
0.9999549984931946,10500,2099,126.9794921875,-41.13432693481445,2100,0.0,17.931011199951172,78,-0.7071974,134,0.0007
1.0013123750686646,11000,2199,-30.705280303955078,-41.18065643310547,2200,0.0,19.02459716796875,81,-6.109307,134,0.0007
1.0027788877487183,11500,2299,-3510.370361328125,-41.20658874511719,2300,0.0,8764.228515625,85,12.027296,134,0.0007
1.0050102472305298,12000,2399,21.84081268310547,-41.2711067199707,2400,0.0,3.3253865242004395,88,0.42206022,135,0.0007
1.005603313446045,12500,2499,-64.99484252929688,-41.29191589355469,2500,-1.1920928955078125e-07,2.921480655670166,92,-0.13542393,135,0.0007
1.0055538415908813,13000,2599,15.214300155639648,-41.2975959777832,2600,0.0,0.6503523588180542,95,1.6565509,136,0.0007
1.0043485164642334,13500,2699,-10.157957077026367,-41.25104904174805,2700,0.0,0.3935852348804474,98,-0.7524163,136,0.0007
1.004423975944519,14000,2799,163.9317169189453,-41.256019592285156,2800,0.0,21.15604019165039,102,2.837672,136,0.0007
1.0053426027297974,14500,2899,-69.35826110839844,-41.27656936645508,2900,0.0,3.324359178543091,106,1.2325596,136,0.0007
1.0047192573547363,15000,2999,50.097572326660156,-41.26271057128906,3000,0.0,2.2051939964294434,109,1.1401048,136,0.0007
1.006466269493103,15500,3099,124.58746337890625,-41.31053161621094,3100,-1.1920928955078125e-07,12.858282089233398,113,-0.57203716,136,0.0007
1.0065693855285645,16000,3199,-108.83598327636719,-41.31425094604492,3200,0.0,28.102310180664062,116,-0.6514613,137,0.0007
1.0059003829956055,16500,3299,39.72095489501953,-41.292476654052734,3300,0.0,3.174034833908081,120,-1.2467059,137,0.0007
1.0061640739440918,17000,3399,98.26753234863281,-41.295711517333984,3400,0.0,9.553192138671875,123,6.6696424,137,0.0007
1.0063135623931885,17500,3499,121.09080505371094,-41.30438232421875,3500,0.0,10.969781875610352,127,0.91736084,137,0.0007
1.0077635049819946,18000,3599,-140.4998779296875,-41.34223937988281,3600,0.0,15.462315559387207,130,0.5982556,137,0.0007
1.0065501928329468,18500,3699,126.3711166381836,-41.31096267700195,3700,0.0,10.562742233276367,133,-2.0194123,138,0.0007
1.0072404146194458,19000,3799,68.51426696777344,-41.3327751159668,3800,0.0,3.058960437774658,137,1.7010002,138,0.0007
1.0063438415527344,19500,3899,-162.38943481445312,-41.308502197265625,3900,0.0,16.459497451782227,141,1.2498507,138,0.0007
1.0059930086135864,20000,3999,-231.3048858642578,-41.2928352355957,4000,0.0,43.0695686340332,144,2.4381428,138,0.0007
1.0076662302017212,20500,4099,-11.846905708312988,-41.34067916870117,4100,5.960464477539063e-08,3.004739999771118,147,-0.117648855,138,0.0007
