time/total_timesteps,train/n_updates,time/episodes,train/actor_loss,time/time_elapsed,train/reward,train/critic_loss,time/fps,train/learning_rate
11572,8679,4,23.875778661110473,173,6.8471007,3073.16437467192,66,0.001
23144,20251,8,-35.34457858837561,387,6.8471007,40.70336374311846,59,0.001
34716,31823,12,-29.103750981799962,593,6.8471007,9.400781691218592,58,0.001
46288,43395,16,-22.846521522609,800,6.8471007,5.568803594551653,57,0.001
